Exporter M.49,Exporter ISO3,Exporter,Exporter region,Year,Value (1000USD),Weight (1000kg)
52,BRB,Barbados,Latin America and the Caribbean,2006,106589.6349,267893.2158
56,BEL,Belgium,Europe,2006,98895900.63,180887934.7
60,BMU,Bermuda,Northern America,2006,90596.566,604322.693
64,BTN,Bhutan,Central and Southern Asia,2006,133896.4679,906736.5468
68,BOL,Bolivia,Latin America and the Caribbean,2006,3794821.135,15630244.73
70,BIH,Bosnia Herzegovina,Europe,2006,1451070.198,9150529.62
72,BWA,Botswana,Sub-Saharan Africa,2006,3843372.555,590594.9888
74,BVT,Bouvet Island,,2006,497.515,1134
76,BRA,Brazil,Latin America and the Caribbean,2006,83687731.02,396785048.4
84,BLZ,Belize,Latin America and the Caribbean,2006,318452.2409,504247.4381
86,IOT,British Indian Ocean Territory,,2006,85.803,71.566
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2006,76710.343,243102.542
92,VGB,British Virgin Islands,Latin America and the Caribbean,2006,51607.729,122164.785
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2006,7505909.045,18248159.72
100,BGR,Bulgaria,Europe,2006,7658991.24,14229187.37
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2006,3425504.724,12701827.61
108,BDI,Burundi,Sub-Saharan Africa,2006,150711.4673,53138.23417
112,BLR,Belarus,Europe,2006,9696861.848,28464457.91
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2006,324058.6018,304533.0073
120,CMR,Cameroon,Sub-Saharan Africa,2006,4571356.543,8519491.688
124,CAN,Canada,Northern America,2006,162415673.5,444686557.6
132,CPV,Cabo Verde,Sub-Saharan Africa,2006,87708.17191,163219.9606
136,CYM,Cayman Islands,Latin America and the Caribbean,2006,108731.846,222490.429
140,CAF,Central African Republic,Sub-Saharan Africa,2006,124596.3353,174885.4781
144,LKA,Sri Lanka,Central and Southern Asia,2006,2238642.011,1820361.803
148,TCD,Chad,Sub-Saharan Africa,2006,2491359.887,5862291.924
152,CHL,Chile,Latin America and the Caribbean,2006,52560282.15,32958971.32
156,CHN,China,China,2006,108279568.3,574456138.4
162,CXR,Christmas Islands,,2006,15679.921,209832.563
166,CCK,Cocos Islands,,2006,418.108,3741.112
170,COL,Colombia,Latin America and the Caribbean,2006,18455063.65,91771262.82
174,COM,Comoros,Sub-Saharan Africa,2006,14066.837,3813.062
175,MYT,Mayotte,Sub-Saharan Africa,2006,1583.392713,1153.97684
178,COG,"Congo, Republic",Sub-Saharan Africa,2006,9254178.438,18886288.15
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,2006,866606.351,927919.885
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),2006,8996.939,5217.12
188,CRI,Costa Rica,Latin America and the Caribbean,2006,3360954.96,5701917.149
191,HRV,Croatia,Europe,2006,3402670.482,13954242.96
192,CUB,Cuba,Latin America and the Caribbean,2006,979545.7806,2212750.854
196,CYP,Cyprus,Northern Africa and Western Asia,2006,980673.981,2510015.91
203,CZE,Czech Republic,Europe,2006,11172870.9,35227512.07
204,BEN,Benin,Sub-Saharan Africa,2006,516453.2754,841992.5199
208,DNK,Denmark,Europe,2006,25398763.69,37831961.87
212,DMA,Dominica,Latin America and the Caribbean,2006,31820.57055,480235.9322
214,DOM,Dominican Republic,Latin America and the Caribbean,2006,1800862.018,2737731.888
