Importer M.49,Importer ISO3,Importer,Importer region,Year,Value (1000USD),Weight (1000kg)
418,LAO,Lao PDR,Eastern and South-Eastern Asia (excl. China),2012,1656670.248,2447424.686
422,LBN,Lebanon,Northern Africa and Western Asia,2012,11356492.49,14607663.91
426,LSO,Lesotho,Sub-Saharan Africa,2012,641451.1838,939906.6491
428,LVA,Latvia,Europe,2012,10725960.35,17972738.02
430,LBR,Liberia,Sub-Saharan Africa,2012,1872012.749,2417565.197
434,LBY,Libya,Northern Africa and Western Asia,2012,7314238.695,13638838.65
440,LTU,Lithuania,Europe,2012,13115161.33,19592355.19
442,LUX,Luxembourg,Europe,2012,8805154.406,16324282.66
446,MAC,"China, Macao SAR",China,2012,1465767.272,89653217.19
450,MDG,Madagascar,Sub-Saharan Africa,2012,1194672.074,2392626.04
454,MWI,Malawi,Sub-Saharan Africa,2012,852566.5095,1161932.49
458,MYS,Malaysia,Eastern and South-Eastern Asia (excl. China),2012,72890325.72,113475056.1
462,MDV,Maldives,Central and Southern Asia,2012,705588.684,1723481.25
466,MLI,Mali,Sub-Saharan Africa,2012,1611117.653,4045563.615
470,MLT,Malta,Europe,2012,5761027.483,7823689.328
473,,"Latin American Integration Association, nes",,2012,28745070.27,35690889.5
478,MRT,Mauritania,Sub-Saharan Africa,2012,1924815.498,4018459.674
480,MUS,Mauritius,Sub-Saharan Africa,2012,2261239.286,3622689.542
484,MEX,Mexico,Latin America and the Caribbean,2012,77335109.93,101358095.5
490,,"Other Asia, nes",,2012,279698395.2,441145370.1
496,MNG,Mongolia,Eastern and South-Eastern Asia (excl. China),2012,1983129.372,3321532.317
498,MDA,Moldova,Europe,2012,1546086.58,2754234.148
499,MNE,Montenegro,Europe,2012,783355.247,1352680.588
500,MSR,Montserrat,Latin America and the Caribbean,2012,15774.52745,20931.58086
504,MAR,Morocco,Northern Africa and Western Asia,2012,20982480.79,42095465.1
508,MOZ,Mozambique,Sub-Saharan Africa,2012,3531310.586,7618896.848
512,OMN,Oman,Northern Africa and Western Asia,2012,8860385.683,20851843.1
516,NAM,Namibia,Sub-Saharan Africa,2012,2567768.455,2178540.423
520,NRU,Nauru,Oceania (excl. Australia and New Zealand),2012,7444.852,6260.564
524,NPL,Nepal,Central and Southern Asia,2012,3136736.335,7166827.722
527,,"Oceania, nes",,2012,718824.27,948471.551
528,NLD,Netherlands,Europe,2012,260401607.4,401693683.4
531,CUW,Curacao,Latin America and the Caribbean,2012,2791238.526,3892366.948
533,ABW,Aruba,Latin America and the Caribbean,2012,1520411.272,2832754.789
534,SXM,Sint Maarten (Dutch part),Latin America and the Caribbean,2012,82255.873,100160.681
